username,joined_date
pcasseldine0,12/13/2018
mlearned1,02/20/2019
bfobidge2,10/17/2018
cpirrone3,08/22/2019
kmee4,03/24/2019
ashama5,08/04/2019
aormshaw6,01/24/2019
pbrittain7,01/01/2019
jjozaitis8,01/24/2019
ssikorsky9,02/05/2019
cslessara,01/03/2019
fclercb,04/29/2019
jcatonc,03/21/2019
bmagraned,01/10/2019
wstrotonee,09/05/2019
mpirdyf,03/27/2019
smoakesg,10/27/2018
rwoakesh,03/17/2019
wgearingi,06/19/2019
hchristophej,03/31/2019
hbettridgek,11/10/2018
dfullagarl,05/15/2019
hmcglaudm,03/14/2019
pdowryn,03/06/2019
khartingtono,06/21/2019
ysantenp,05/16/2019
rcrimminsq,06/01/2019
abranscombr,06/23/2019
ecelizs,04/20/2019
ghedlestonet,03/04/2019
beslemontu,05/31/2019
tshurmerv,03/24/2019
ifidelliw,11/01/2018
gmathwenx,08/07/2019
smcgilroyy,10/17/2018
skelleherz,09/05/2019
cnaismith10,01/12/2019
llumpkin11,03/30/2019
selcoate12,01/29/2019
jgarrick13,01/02/2019
kitzcovichch14,03/31/2019
dshingfield15,04/21/2019
bpimblett16,05/30/2019
hewbach17,03/25/2019
dabramovici18,04/26/2019
tstegell19,12/08/2018
bcaudle1a,12/26/2018
fminard1b,08/22/2019
lmccusker1c,06/23/2019
vblair1d,10/21/2018
